var-1,var-2,var-3,var-4,var-5,Common,English Translated
fahrist,fahrest,Fehrist,fahrisat,,fahrist,List
nazare,nazaray,nizaray,,,nazaray,Scenes
chulbula,chulbulla,chlbula,chlblaa,,chulbula,Energetic
thay,thy,they,,,thay,They
ghunah,gunnah,gunah,gunaah,,gunah,Sin
sherwani,sherwanii,,,,sherwani,Formal coat
Hafeez,Hafez,,,,Hafeez,Guardian
hawalon,hawaloun,,,,hawalon,References
qedi,quadi,,,,qedi,Accused
byrozgar,berozgar,beyrozgar,,,berozgar,Unemployed
khaufzada,khauffzada,khofzada,khoffzada,khaufzaada,khaufzada,Afraid
naach,nach,,,,naach,Dance
khuwahishmand,khowahishmand,khuwahishmnd,khowahshmand,khuwaishmand,khuwahishmand,Aspiring
shehryun,shahryoun,shahryon,,,shahryoun,Citizens
nawazay,nawazy,,,,nawazay,Host
geet,,,,,geet,Song
kahta,kahita,kahtaa,kehta,,kahta,Says
Tahqeeqat,tahqiqat,tahkeekat,tehqiqaat,Tehqiqat,Tahqeeqat,Research
thos,thoos,thuss,,,thos,Solid
rohaniat,roohaniat,,,,rohaniat,Spirituality
sadabahar,,,,,sadabahar,Evergreen
shumari,shumare,,,,shumari,Enumeration
adaaon,adaon,,,,adaon,Manners
lagnaa,lagina,lagna,,,lagna,Seem
soorah,sorah,surah,surrah,,surah,Image
kamra,kamira,kamraa,,,kamra,Room
hadse,hadsey,haadsay,hadsiy,haadsye,hadsey,Accidents
angaaro,angaron,,,,angaron,Embers
Yaqeeni,yaqeni,yaqini,,,Yaqeeni,Certain
qabaili,qabali,,,,qabaili,Tribal
khayalaat,khayalat,khayaalat,khaylat,,khayalat,Thoughts
Sarkar,sarkaar,,,,Sarkar,Master
paisay,paise,paisey,pesy,,paisay,Money
adaron,adaro,idaro,idaron,idaroun,idaro,Organizations
takleef,taklef,taklif,taqleef,taqlif,takleef,Difficulty
Silsala,Silsila,silsilah,,,Silsila,Series
hojanay,hojaanay,hojaney,,,hojanay,Becoming
bajaya,bjaya,bajaaya,,,bajaya,Played
ayashya,ayashayan,,,,ayashayan,Luxuries
aagae,agae,aage,Aagai,,agae,Ahead
Khanay,khany,khaney,,,Khanay,Eateries
kahzana,khazana,khuzana,khazanna,,kahzana,Treasure
aasakta,asakta,,,,asakta,Attached
kuta,kutta,,,,kutta,Dog
nashriyat,nushriyat,,,,nashriyat,Publications
khilwat,khelwat,,,,khilwat,Solitude
malang,malng,,,,malang,Devotee
pahari,puhaari,pahaari,,,pahari,Mountainous
nokri,noukari,,,,nokri,Job
manta,manita,mnta,,,manta,Accepts
phal,ful,phul,,,phal,Fruit
paidawar,paidawr,peidawar,piadawar,pedawar,paidawar,Productive
Risalat,resalat,,,,Risalat,Message
shola,sholaa,,,,shola,Flame
waisa,waisaa,,,,waisa,Similar
saal,sal,,,,saal,Year
chubhta,chubta,chubtah,chubtaa,chubtaah,chubhta,Piercing
zaati,zati,,,,zaati,Personal
takhtadar,takhitdaar,,,,takhtadar,Ruler
sanjeedgi,sanjidgi,,,,sanjeedgi,Seriousness
Roznama,,,,,Roznama,Daily
Aalameen,alameen,alamin,,,alameen,Worlds
ikloti,eklooti,eklote,,,ikloti,Lonely
safar,safr,,,,safar,Journey
uzmaa,uzma,,,,uzmaa,Greatness
honay,honey,hony,,,honay,Being
juram,jurum,,,,jurum,Crime
Sawari,saware,sawre,,,Sawari,Ride
kandhon,kandhoun,kandho,,,kandhoun,Shoulders
parny,purny,,,,parny,To fall
jalsa,jalsaa,,,,jalsa,Gathering
dhamkian,dhamkiyan,dhemkiyan,dhemkiya,dhamkiya,dhamkian,Threats
Sabzian,sabziyan,,,,Sabzian,Vegetables
taqareer,taqarer,taqarir,,,taqareer,Speeches
Karkunan,karkoonan,karkonan,,,Karkunan,Workers
lagadia,lagadiya,lagadeya,lagaadiya,lagaadeya,lagadiya,Fixed
manzil,manzel,mnzil,,,manzil,Destination
girhaaq,girhaq,girhaak,,,girhaq,Captive
eteraf,etiraf,aitraaf,,,aitraaf,Confession
paraya,,,,,paraya,Stranger
jhootha,jhota,jhoota,jhuta,jhta,jhota,FALSE
Ramz,rumz,,,,Ramz,Symbol
ungliyan,ungliya,ungleya,,,ungliyan,Fingers
juti,jooti,joote,,,jooti,Shoe
chaat,chatt,chat,,,chaat,Roof
jiska,jska,,,,jiska,Whose
Kharij,khaarig,khaarij,kharig,kharej,Kharij,Out
soya,,,,,soya,Slept
uthane,,,,,uthane,To lift
sharmeela,sharmila,,,,sharmeela,Shy
qilat,qillat,killat,,,qilat,Shortage
laqanooniyat,lakanooniyat,laqanoniyat,laqanonyat,,laqanooniyat,Legality
hanste,hansti,hunsti,hunste,hasti,hansti,Laughing
chandni,chandnii,chndni,chandne,chandine,chandni,Moonlight
pehchanne,pehchanni,pehchane,pehchani,,pehchanne,To recognize
valima,,,,,valima,Wedding feast
azafa,izafa,Ezafa,ezafah,izafaa,izafa,Increase
ghaat,,,,,ghaat,Loss
fahaashi,fahashi,fahashe,,,fahashi,Vulgarity
Kambakht,kambakhet,,,,Kambakht,Wretched
qabil-e-atemad,,,,,qabil-e-atemad,Trustworthy
makhyan,makhyaa,makhyaan,,,makhyan,Tricks
takhleeqi,takhliqi,takhleeqe,,,takhleeqi,Creative
hansane,hansaane,hansani,hansaani,husani,hansane,To laugh
andaaz,andaz,,,,andaz,Style
kutub,,,,,kutub,Books
waqti,wakti,waqte,,,waqti,Temporary
chlakiyan,chalakiyaan,chalakeyan,chalakeyn,chalikeyan,chalakiyaan,Tricks
kandi,kandhi,,,,kandhi,Wall
maidaan,maidan,medaan,meddan,,maidan,Field
khta,khata,khataa,,,khata,Mistake
hadeed,hadid,haded,,,hadeed,Iron
nibhai,nibhae,,,,nibhai,To fulfill
unsay,onsay,,,,unsay,With
saaade,sadi,sade,saddi,sadii,sadi,Century
sambhal,sambhaal,sanbhal,smbhal,,sambhal,To control
shohrat,shouhrat,shorat,,,shohrat,Fame
Tasaveer,Tasavir,tasaaver,tasaver,tasaweer,Tasaveer,Images
Javed,javd,Jawed,,,Javed,Eternal
ulama,olama,,,,ulama,Scholars
kamla,kumla,,,,kamla,Complete
larhkana,larkekna,lerhkana,lirhkana,,larhkana,To argue
gahra,gahraa,gehra,ghehra,,gahra,Deep
zarkhez,zarkhaiz,,,,zarkhez,Fertile
sakta,sakita,sukta,skta,sktaa,sakta,Capable
samaete,samaite,samait,samet,samit,samait,Including
pilane,,,,,pilane,To feed
hilana,hilaana,,,,hilana,To shake
kahy,kahay,,,,kahy,Says
aalam,aalm,alum,alam,,alam,World
shakal,shkl,shkll,,,shakal,Shape
nachata,nachita,,,,nachata,To dance
qalb,qalib,qlab,,,qalb,Heart
pahoch,pahonch,pahunch,pohoch,,pahoch,Reach
baqaidgi,baqaiydegi,baqaiydgi,baqaidge,baqaidege,baqaidgi,Limitation
shakloon,shaklon,,,,shaklon,Shapes
nachwata,nuchwata,,,,nachwata,To make dance
hansana,hansaana,hasaana,husaana,,hansana,To make laugh
Wapasi,wapsi,wpsi,wapse,wapase,Wapasi,Return
tasawar,tasawor,tasawwur,tasawr,tasavor,tasawar,Imagination
dalny,daalny,dalnay,dalney,,dalnay,To put
bakhud,,,,,bakhud,Self
hazaron,hazaaroun,hazaroun,hazaro,hzaru,hazaro,Thousands
giraft,girift,gerift,,,giraft,Capture
koe,koi,Koie,koiii,koey,koe,Someone
leya,leyea,lea,lieya,lya,leya,Took
palne,paline,,,,palne,To nurture
chandaa,chanda,chandah,chunda,,chanda,Moon
sarko,sarkon,sarkoon,,,sarko,Streets
shikayat,,,,,shikayat,Complaint
Tankhain,Tankhuwaen,Tankhwaian,tankhwahain,tankhwahy,Tankhain,Salaries
maro,maaro,,,,maro,Hit
hamsafar,humsafar,hamsaffar,hamsafer,,hamsafar,Companion
balaghat,,,,,balaghat,Eloquence
tauheen,toheen,tohin,,,toheen,Insult
ikahatha,ikatha,ekahatha,ikathaa,,ikatha,Gathering
kamyaabi,kamyabe,kamyabi,kamiabi,kamyaabe,kamyabi,Success
hashar,hasher,,,,hashar,Aftermath
leta,,,,,leta,Takes
katney,kaatnay,kaatinay,katinay,katnay,katney,Cutting
tana,tanna,,,,tana,Taunt
karyga,Karega,kariyga,kariga,krega,karyga,Will do
warana,warna,Wrna,wrnaa,,warana,Otherwise
paye,payein,,,,payein,Obtain
anfaradi,anfradi,infradi,infrade,,infradi,Individual
darwaza,derwaza,drwaza,derawazaa,dervaza,darwaza,Door
tawanaiyan,tawanayan,,,,tawanaiyan,Energies
amar,,,,,amar,Eternal
Bachanay,bachane,bachany,,,bachany,Saving
Haj,Hajh,Hajj,,,Hajj,Pilgrimage
kuli,kulli,kulle,,,kuli,Laborer
ranj,runj,,,,ranj,Sorrow
aezaaz,aizaaz,aezaz,ezaz,aizaz,aizaz,Honor
laao,lao,,,,lao,Bring
gunda,ghunda,gandha,,,ghunda,Hooligan
saans,sans,saas,,,saans,Breath
aramdah,aramday,aramdeh,,,aramdah,Comfortable
inti,intne,itni,itne,itnee,intne,So much
sawalon,sawaloun,,,,sawalon,Questions
Samosay,samosy,,,,Samosay,Samosas
kaaaam,kaaam,kaam,kam,km,kaam,Work
hadees,hadis,hdees,,,hadees,Hadith
hamkinar,humkinar,humkinaar,humknar,hamkenar,hamkinar,Nearby
otha,utha,uthaa,,,utha,Lift
Jhoot,jhot,,,,Jhoot,Lie
tasdeeq,tasdeek,tasdeq,tasdek,,tasdeeq,Confirmation
sapna,sapnaa,,,,sapna,Dream
seeney,senay,seney,,,seeney,Chest
mariz,marzz,,,,mariz,Patient
geeton,geetoun,geeto,,,geeton,Songs
ganzadaa,ghamzada,ghumzada,gamzada,ghmzada,ghamzada,Afflicted
karab,kharab,kharaab,kharrab,,kharab,Bad
badtareen,badtaren,,,,badtaren,Worse
qad,kad,,,,qad,Height
shabaab,shabab,,,,shabaab,Youth
maqamaat,mukamat,makimat,,,mukamat,Positions
qiyas,kiyas,,,,kiyas,Comparison
tahalka,tahalika,tahalkaa,,,tahalka,Shock
Gulldaan,guldaan,,,,guldaan,Flowerpot
tanzemein,tanzemain,tanzemy,,,tanzemein,Arrangements
resalay,resale,resaley,risalay,,resalay,Letters
yaad,yad,yadd,yd,,yaad,Memory
gohngy,gongy,gonggy,,,gongy,Bells
ganje,ganji,ganjee,,,ganji,Bald
jinko,jnko,,,,jinko,Whom
khasosan,khasosen,khasosn,khasusan,khusosan,khasosan,Especially
rukti,,,,,rukti,Stops
javab,jawaab,jawab,jwab,jwb,jawab,Answer
kamre,kamrey,kamray,,,kamray,Rooms
giraae,girae,,,,girae,Put down
kmi,kami,,,,kami,Shortage
hawas,hawus,huvas,,,hawas,Desire
chalain,chalaeye,chalaiye,chlaeye,chalayen,chalain,Let's go
imandari,emandari,imandare,emandare,,emandari,Honesty
Talab,talb,talub,,,Talab,Demand
partey,,,,,partey,Waves
goya,goyaa,,,,goya,As if
qanoonsaaz,qanoonsaz,kanoonsaz,,,qanoonsaz,Law-abiding
janab,janaab,jannab,jnab,jnb,janab,Sir
ochee,onchi,ochi,,,onchi,High
khudgharz,khudgarz,khudghraz,,,khudgharz,Selfish
zema,zemma,zima,zimma,zamman,zima,Responsibility
kanpta,kaanpta,kanptaa,,,kanpta,Trembling
androne,Androni,,,,androne,Inside
nibhaongi,Nibhangi,nibhanongi,,,nibhaongi,Will fulfill
ghuttan,ghutan,,,,ghutan,Suffocation
layegi,laaygi,,,,layegi,Will bring
ho,,,,,ho,Is
bahir,baher,baahir,bahr,bhr,bahir,Outside
gandy,ghanday,ganday,gunday,ghunday,gandy,Dirty
raees,rayas,raes,,,raees,Wealthy
Qaflon,kafilon,,,,Qaflon,Caravans
jaati,jate,jati,jaate,,jate,Going
peyghamat,paigamat,pegamat,,,paigamat,Message
akhatta,ikhatta,,,,ikhatta,Accumulated
ajazat,,,,,ajazat,Permission
itwar,itwaar,,,,itwar,Sunday
nasha,nusha,nsha,,,nasha,Intoxication
poorani,porane,porani,purani,purane,purani,Old
aibadat,,,,,aibadat,Worship
kahaniyan,kahaniyon,kahanyon,kahanyan,kahanyoun,kahaniyan,Stories
adala,,,,,adala,Justice
haya,hayaa,heyaa,,,haya,Modesty
rakhwala,rakhiwala,rukhwala,,,rakhwala,Guardian
sadarti,,,,,sadarti,Presidential
kare,karee,kari,,,kare,Do
jannati,janati,jannate,janate,,janati,Heavenly
islahat,islahaat,,,,islahat,Reforms
parwarish,,,,,parwarish,Upbringing
ruswae,ruswai,rusvae,,,ruswae,Humiliation
rokawaty,rukwatay,,,,rukwatay,Obstacles
Paao,paon,pao,paooon,paun,paon,Feet
jache,janche,jachi,janchi,,janche,Measure
giftogo,guftugo,guftagu,guftogo,goftogo,guftugo,Conversation
pachas,puchas,,,,pachas,Fifty
ikhiteyar,akhtiyar,,,,akhtiyar,Authority
bajata,bajaata,,,,bajata,Plays
Pakoray,Pakory,,,,Pakoray,Fritters
pilaoga,,,,,pilaoga,Will make drink
chaman,chamen,chamun,chamann,,chaman,Garden
chaba,chabba,chabaa,chubaa,,chaba,Chews
paregi,,,,,paregi,Will be able to
ilaqa,elaiqa,elaika,,,elaiqa,Area
Haji,hajji,hajii,,,hajji,Pilgrim
sarahte,sarahitay,,,,sarahte,Explanation
Dajjal,dajal,dajjaal,dajaal,,Dajjal,Antichrist
sambhalo,sambhaalo,,,,sambhalo,Handle
aamdani,amadini,amadeni,amadni,,amadeni,National
haliya,haaliya,haaleya,haalya,,haliya,Condition
daleel,dalil,daleell,,,daleel,Evidence
hngay,hngy,hongay,hungay,,hongay,Will be
othy,uthy,uthay,othay,,uthy,Woke up
hasiil,hasil,haasil,hasel,hassil,hasil,Obtained
Dedia,dediya,,,,Dedia,Given
infaradiyat,infiradiyat,infiraadiyat,infaradyat,infradeyet,infaradiyat,Individuality
aqa,aaqa,,,,aqa,Master
khauf,khauff,Khof,khoff,,khauf,Fear
naami,nami,,,,naami,Famous
appne,appney,,,,appne,Own
uthaya,,,,,uthaya,Lifted
Jalae,jalai,jalaae,,,Jalae,Burn
tarikon,tareekon,tareeko,,,tarikon,Methods
imtehanat,Imtihanat,amtihanat,,,Imtihanat,Exams
aaghosh,agosh,,,,agosh,Embrace
pashemani,pushemani,pashemaani,,,pashemani,Regret
jaatay,jatai,jaatai,jaty,jatay,jatay,Go
gunaa,gunnaa,gunna,guna,,gunaa,Sin
bahman,bahum,baahum,baaham,baham,baham,Together
longa,lunga,,,,lunga,Will take
kamaata,kamata,,,,kamata,Earns
omang,,,,,omang,Ambition
let,lait,laitt,,,let,Let
hosakta,hosktaa,hoskta,,,hosakta,Can
kushada,kushadh,kushaada,,,kushada,Comfortable
karsakta,karskta,karsukta,kursakta,krsakta,karsakta,Can do
baha,bahaa,,,,baha,Flow
bachon,bachoon,bachun,bacho,,bachon,Children
aawaaz,awaz,aawaz,awaaz,awz,awaz,Voice
jismani,jismaani,jismane,jismaane,,jismani,Physical
sargaram,,,,,sargaram,Enthusiastic
shafiq,shafeeq,shafeque,shafique,,shafiq,Gentle
tarteb,tarteeb,tartib,,,tarteb,Order
hatane,hatani,hataani,,,hatani,To remove
ulom,Uloom,,,,ulom,Knowledge
phelne,,,,,phelne,Spreading
Sanson,,,,,Sanson,Breaths
yaaaro,yaaro,,,,yaaro,Friends
bakshishain,bakishishen,,,,bakshishain,Forgiveness
pahla,pahila,pehla,,,pahla,First
nagurez,nagureez,naguryz,naagurez,,nagurez,Neglect
umar,umer,ummer,umr,,umar,Age
Lagane,lagaane,lagani,lagaani,,lagani,To invest
kalami,kalame,kalmi,kalme,qalmi,kalami,Speech
Shanakhti,,,,,Shanakhti,Identity
aadme,admi,aadmi,adme,adime,admi,Man
sahebzade,sahibsadi,,,,sahibsadi,Aristocratic
Ihtesham,ihteshaam,,,,Ihtesham,Grandeur
sahibzady,,,,,sahibzady,Aristocratic
payedar,paidar,paedaar,,,payedar,Durable
aasan,asan,asn,aasaan,assan,asan,Easy
naslo,naslon,nasloon,nuslon,,naslo,Generations
hifzo,hifzu,,,,hifzo,Protection
paak,pak,pk,,,pak,Pure
ganga,gunga,,,,gunga,Mute
raakhi,rakhi,Rakhe,rkhi,rkhe,raakhi,Kept
gark,garak,garaq,ghrak,gharaq,garaq,Drowned
jhulon,jhooloun,,,,jhulon,Swing
faqeerni,fakeerine,,,,faqeerni,Poverty
aitraz,aitraaz,,,,aitraaz,Objection
qaideon,qaidiyon,qaidyon,,,qaideon,Principles
intaha,inteha,intehaa,entiha,,inteha,Limit
roozgar,rozgar,,,,rozgar,Livelihood
waja,wajah,wajha,wja,wjah,waja,Reason
Darshan,dershan,dershn,darshn,dershen,Darshan,Meeting
gudam,guddam,gudaam,,,gudam,Conversation
Parwazon,,,,,Parwazon,Birds
alama,,,,,alama,Sign
sawarne,sanwarni,sawrne,,,sawarne,Beautification
sochon,souchon,souchoun,sounchon,,sochon,Thoughts
Paseeny,pasenay,paseny,,,pasenay,Sweat
Sharabi,sharabbi,sharabe,,,Sharabi,Drunkard
larte,larti,,,,larti,Fighting
bannnd,band,bnd,,,band,Closed
waadi,wadi,wade,waddi,wadde,waadi,Valley
zimadari,zimedaari,zimedari,zimmedari,zumedaari,zimadari,Responsibility
narazgi,nrzgi,narzgi,,,narazgi,Anger
charaag,charaagh,chiraag,chiragh,chiraagh,charaagh,Lamp
falsafe,fulsafy,,,,fulsafy,Philosophies
neche,,,,,neche,Below
naatay,nate,naatey,,,naatay,Songs
dharkan,Dharken,dherken,dhrkn,dhrken,dharkan,Heartbeat
uthte,uthti,,,,uthte,Stand up
parchoon,parchon,,,,parchon,Pages
tarjuma,tarjumaa,,,,tarjuma,Translation
nachate,,,,,nachate,Dancing
pehnate,pahinte,,,,pahinte,Wearing
katni,kaatni,kaatinii,katine,,katni,Cutter
tankeed,tanked,tanqed,tanqeed,tanqid,tankeed,Criticism
appna,apna,,,,apna,Own
qadar,kadar,,,,qadar,Value
saiy,saiye,,,,saiy,Master
had,hadh,hud,hd,,had,Limit
sardion,sardiyon,sardiyoun,,,sardion,Winters
daastano,dastano,dastaano,,,dastano,Stories
halkay,halqay,halky,halqy,halqey,halkay,Light
kyunky,kyunkay,kyunke,kiokay,,kyunky,Because
paesh,paish,pesh,,,paish,Present
tumaray,tumharay,Tumhary,Tmharay,tmhary,tumharay,Your
aalime,aalmi,alami,alimi,Almi,alami,International
lehjay,lehjy,lahijay,lehija,,lehjay,Tones
shafaf,shafaaf,,,,shafaf,Transparent
gawaya,gavaya,gawaaya,gawayaa,,gawaya,Exemplified
tashweesh,tashvees,tashwesh,,,tashweesh,Concern
laagao,lagao,lgao,,,lagao,Attachment
faisaly,faislay,faisley,faisly,faislye,faisley,Decisions
waali,wale,wle,wali,wli,wale,People
nakaami,nakamai,Nakami,nakamy,,Nakami,Failure
Kaaba,kaabah,kaba,kabba,,kaba,Kaaba
Ishtiharat,ishteharat,ishtihaarat,,,ishteharat,Advertisements
payal,,,,,payal,Anklet
wakeelon,wakelon,wakeeloun,waqeeloun,,wakeelon,Lawyers
qaseeday,kaseeday,,,,qaseeday,Poems
rakhon,rakhun,,,,rakhon,Keep
zehno,zihano,zehino,,,zihano,Intellects
hansi,hanse,hunsi,hassi,hasi,hansi,Laughter
gande,Gandhi,gandi,gandhe,gndi,gandi,Dirty
pehen,pahn,pahin,pehn,pehnn,pehen,Wear
Yom,youm,yum,,,youm,Day
naubat,nobat,nobut,naubut,,naubat,Situation
karae,karai,krae,,,karae,Work
masla,masila,,,,masla,Issue
ghoomty,ghumty,ghomty,goomty,,ghomty,Roaming
asabab,asbab,asbaab,,,asbaab,Causes
khulwa,khulwaa,,,,khulwa,Open
sgy,saggay,sagay,,,sagay,Silent
khaami,khami,khame,,,khami,Deficiency
raaton,raton,raatoun,,,raaton,Nights
intazam,intizaam,intizam,intezam,intzam,intazam,Arrangement
nakamiyon,nakamyon,,,,nakamiyon,Failures
gaate,gaati,gaattee,gatee,,gaate,Singing
jagahon,jagaahon,jagaho,,,jagahon,Places
Ghani,ghane,,,,Ghani,Rich
tabraiz,Tabrez,,,,tabraiz,Tabrez
hasab,hisaab,hisab,hesab,hissab,hisaab,Calculation
jasoosi,jasoose,jasosi,jasose,jasusi,jasoosi,Spy
rakhna,rakhina,rkhna,rkna,,rakhna,Keep
safarsh,safarshi,sifarish,sifarsh,safrash,sifarish,Recommendation
apny,apnay,,,,apnay,Own
paas,pas,pass,,,pas,Near
andazay,andaze,andazy,,,andazy,Estimate
khoota,khoutaa,khota,,,khota,FALSE
qawanin,,,,,qawanin,Laws
rakhenge,rakhengi,,,,rakhenge,Will keep
ranjish,runjish,,,,ranjish,Resentment
paharoon,paharon,pahaaron,,,paharon,Mountains
pasandedgi,psndedgi,pasandeedgi,Pasandidgi,pasndedgi,pasandedgi,Liking
bandrii,bandriii,bandre,,,bandre,Monkeys
takat,taakat,taaqat,taqat,taqet,taqat,Strength
os,us,,,,us,That
sochta,souchta,sonchta,,,sochta,Thinks
farokhat,farokht,Farookht,farukht,frokht,farokht,Sale
shanakht,shanakhit,,,,shanakht,Identification
godam,goudam,godaam,,,godam,Warehouse
tuchay,tochay,tuchy,,,tuchay,Foolish
seekho,sekho,sikho,,,seekho,Learn
saway,sawai,,,,saway,Along with
Krishna,kirshna,,,,Krishna,Krishna
ay,aayy,aiye,aiyein,aiyeine,aaye,Came
gardi,gardee,,,,gardi,Crowds
hone,honi,,,,honi,To be
raaz,raz,,,,raaz,Secret
nikala,nikla,,,,nikala,Extracted
pan,paan,,,,pan,Bread
dewangi,devangi,deewangi,dewangii,devangii,dewangi,Madness
kamana,kamaana,kamanaa,,,kamana,Earn
Baigrat,begairat,beygaret,,,begairat,Shameless
Chorunga,chorungaa,choronga,choungaa,,choronga,I will leave
shauqia,shauqiya,shokiya,shoqiya,shokya,shauqia,Enthusiastic
tarmeem,tarmem,tarmim,,,tarmeem,Improvement
phelana,,,,,phelana,Spread
khulam,,,,,khulam,Unbridled
amaal,aimaal,,,,aimaal,Actions
chalaty,chalatey,chalatay,chalatai,,chalaty,Walk
Hamza,humza,hmza,,,Hamza,Hamza
khiraaj,Khiraj,,,,khiraaj,Tribute
Mansoba,Mansooba,,,,Mansoba,Position
sayhat,saihat,sehat,sehet,sahat,sehat,Health
razai,razae,,,,razai,Blanket
laash,lash,,,,lash,Corpse
utre,,,,,utre,Descend
karegi,krenge,karige,karege,karengi,krenge,Will do
zaif,zeef,,,,zaif,Weak
gahriyoen,gahrayoun,gehraiyon,gahrayon,,gahrayoun,Depths
jhagron,jhagroun,jhagrun,,,jhagron,Disputes
karana,karaana,,,,karana,To do
phasa,,,,,phasa,Trap
bemaqsad,bemaksed,,,,bemaqsad,Purposeless
Tayaria,tayariya,,,,Tayaria,Preparations
aqliyat,aqlyat,,,,aqlyat,Minorities
aqeeda,aqeda,akeeda,,,aqeda,Belief
iraadon,iradoun,iradon,,,iradon,Intentions
aadatain,aadatan,aadatann,aadatein,aadaten,aadaten,Habits
janib,jaanib,jnib,,,janib,Side
pasandeda,pasandedah,pasandeeda,Pasandidah,pasndedah,pasandeda,Favorite
katputhli,katputli,karpothle,katputle,,katputli,Puppet
tahajjud,tahajud,tahijud,tahajod,,tahajud,Night prayer
firqay,firkay,,,,firkay,Groups
dekhata,dikhata,,,,dikhata,Shows
tohfay,tohfey,toufey,tofy,tofay,tohfay,Gifts
daalne,dalni,dalne,,,daalne,Putting
rishtadari,rishtedari,,,,rishtadari,Relationship
chhurwaya,churwaya,chrwaya,churwayaa,,churwaya,Stolen
aaainda,ainda,aindah,ayinda,aenda,ainda,Future
darmiyan,darmian,darmiyaan,,,darmiyan,Between
pheke,pheki,,,,pheke,Throw
sako,saku,sko,,,sako,Can
thakte,thakite,,,,thakte,Get tired
hasa,hansa,hunsa,hanssa,,hunsa,Laughs
ladkiyo,ladkiyon,larkiyo,larrkyun,ldkio,larkiyo,Girls
bilkul,blkl,bilkull,bilkl,,bilkul,Completely
rahta,rahita,rehita,,,rahta,Lives
aasani,axani,asani,,,asani,Ease
chahun,chahoon,chahon,chaon,,chahon,Desire
kharidna,Khredna,khareedna,kharedna,,kharidna,To buy
machliyo,machlyn,machlyun,,,machliyo,Fishes
sabab,,,,,sabab,Reason
watni,watne,watani,watane,,watni,National
sara,,,,,sara,Entire
sanaton,sanaito,sanaiton,,,sanaton,Traditions
kahunga,kahuga,kahonga,kahounga,,kahuga,Will say
fakhar,Fakhr,fakher,,,fakhar,Pride
tar,taar,,,,tar,Path
selaab,selab,,,,selaab,Flood
Aisa,aisaa,aysa,aesa,Essa,Aisa,Like this
Shaam,sham,shm,,,sham,Evening
jhok,jhonk,,,,jhonk,Blow
Chakri,chaakri,chakrii,chakre,,Chakri,Job
inka,enka,,,,inka,Their
hochuke,hochuki,,,,hochuki,Has happened
afsanwi,afsanwe,,,,afsanwi,Fictional
karogy,karogay,,,,karogy,Will do
gawar,gavar,gawaar,,,gawar,Fool
umda,umdah,umdaah,,,umdah,Excellent
shahid,,,,,shahid,Witness
likhta,lkhita,lkhta,,,likhta,Writes
larhna,larna,larina,,,larhna,Fight
khariden,khareedain,kharidain,khareden,,khariden,To buy
harte,haarti,harti,haarte,,harti,Decreasing
filhaal,filhal,,,,filhal,Currently
dawae,davae,dawai,davai,,dawae,Medicines
machane,machany,,,,machane,To ignite
bagairton,bagerton,begarton,begairton,bagairatoun,begarton,Poors
guzryga,ghuzargaya,guzargaya,,,guzarga,Passage
nikah,nakkah,nikaah,,,nikah,Marriage
kherati,khairyate,kherate,khairate,,kherati,Appreciation
Shabnam,shadnum,,,,Shabnam,Dew
kama,kamaa,,,,kama,Earn
shahed,Shaheed,,,,Shaheed,Martyr
jins,jinsay,,,,jinsay,From which
Jungjo,Jungjoo,jangju,,,Jungjo,Wars
Azama,azmaa,,,,azmaa,Test
fatohat,fatoohat,fatohaat,fatuhaat,fatuhat,fatohat,Victories
imal,aimal,iemaal,,,aimal,Properties
keel,kel,,,,kel,How
wandi,wande,,,,wandi,Staff
rutbe,rutbey,rutibay,rutiby,,rutbey,Status
zalalat,zalalet,zlalat,,,zalalat,Humiliation
halaak,halak,halaq,halaaq,hallaq,halak,Destruction
zawaal,zawal,zanwal,,,zawaal,Decline
agla,,,,,agla,Next
pahonche,pahiche,pahonchi,,,pahiche,Recognition
Farmaday,furmaday,,,,farmaday,Will order
azeem,,,,,azeem,Great
nisbat,nesbat,,,,nisbat,Relation
Angothi,anguthe,,,,Angothi,Ring
gunahgaro,gunarharu,,,,gunahgaro,Sinners
iqtesadi,iktesaadi,iqtesaadi,iqtesade,iqtesaade,iktesaadi,Economical
ghuzar,guzar,guzaar,,,guzar,To pass
kamae,kamai,kamayi,,,kamai,Earnings
kurrussi,kursi,kurssi,,,kursi,Chair
Serbarha,sarbaraha,surbaraha,,,sarbaraha,Ruler
Gorakh,,,,,gorakh,Stunned
Pairwi,perwi,,,,Pairwi,Support
Ghante,ghanti,ghunte,,,Ghante,Hours
daulatmand,dolatmand,dolatmnd,daoltmend,daolatmend,dolatmand,Rich
khuwabon,khowabon,khwaabon,khuwaabon,khowaabon,khuwabon,Dreams
theak,theek,thek,thik,thk,theak,Correct
Lootne,lootinay,lotinay,,,lootinay,Looters
lagtay,lagitay,lagty,lgtay,lgty,lagtay,Seem
kitabain,kitaabain,kitabein,kitaben,,kitabain,Books
rawana,,,,,rawana,Departed
pohanchaya,pohanchya,pohchaya,,,pohanchaya,Sending
hasad,hassad,hasadd,hussad,,hasad,Envy
karoge,karongi,Krnge,karunge,krongi,karongi,Will do
chalees,challis,challees,,,chalees,Forty
apno,apuno,,,,apno,Own
juda,Judah,judaa,,,juda,Separate
jalata,jalaata,,,,jalata,Burns
ian,in,en,inn,,in,In
